FILE_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVERAGE_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVERAGE_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,CLEAN_WORDS_COUNT,SYLLABLE_PER_WORD,COUNT_OF_PERSONAL_PRONOUN,AVERAGE_WORD_LENGTH,URL
37.txt,78,109,-0.1657754,0.201943844,22.6025641,0.247078464,9.139857027,23.03846154,444,926,6.804674457,1,5.798553144,37
38.txt,60,61,-0.008264463,0.219600726,19.78873239,0.16971831,7.983380282,20,241,551,6.01056338,6,5.003521127,38
39.txt,87,91,-0.02247191,0.225602028,19.78823529,0.236842105,8.01003096,20.11764706,405,789,6.537426901,3,5.532748538,39
40.txt,90,72,0.11111111,0.262135922,19.61445783,0.146987952,7.904578313,20,244,618,5.992771084,17,4.913855422,40
41.txt,79,66,0.089655172,0.194630872,20.8902439,0.18488838,8.430052913,21.30487805,323,745,6.255294791,16,5.241556955,41
42.txt,61,57,0.033898305,0.21299639,21.69491525,0.17611026,8.748410206,22.13559322,230,554,6.181470138,21,5.169984686,42
43.txt,17,20,-0.081081079,0.113846153,16.02173913,0.212365591,6.493641889,16.17391304,158,325,6.262096774,7,5.221774194,43
45.txt,29,40,-0.159420288,0.221864951,20.02777778,0.14324693,8.068409883,20.36111111,105,311,5.967257844,2,4.963165075,45
46.txt,92,93,-0.005405405,0.212399541,24.8372093,0.185767098,10.00919056,25.1627907,402,871,6.054528651,11,5.050831793,46
47.txt,84,97,-0.071823204,0.189727463,16.88695652,0.181451613,6.827363254,17.25217391,360,954,6.347782258,1,5.344254032,47
48.txt,54,42,0.124999999,0.170212766,21.21818182,0.23397169,8.580861403,21.83636364,281,564,6.629475437,10,5.6244796,48
49.txt,48,48,0,0.169312169,16.43243243,0.187550525,6.647993183,16.71621622,232,567,6.178658044,6,5.175424414,49
50.txt,79,66,0.089655172,0.234248788,21,0.173246906,8.469298763,21.48101266,294,619,5.995285798,33,4.988214496,50
51.txt,73,69,0.028169014,0.198324022,19.22891566,0.192844148,7.768703924,19.86746988,318,716,6.246816252,11,5.24439054,51
52.txt,24,27,-0.058823528,0.209876542,22.63636364,0.23828125,9.149857955,23.27272727,122,243,6.57421875,0,5.5625,52
53.txt,111,94,0.082926829,0.329581993,226.625,0.141519824,90.70660793,227,257,622,5.828193833,15,4.814427313,53
54.txt,44,50,-0.063829787,0.22117647,16.44642857,0.21473029,6.664463545,17.21428571,207,425,6.325726141,0,5.312240664,54
55.txt,35,38,-0.04109589,0.210982658,16.52380952,0.255524862,6.711733754,17.23809524,185,346,6.664364641,1,5.653314917,55
56.txt,8,15,-0.304347813,0.155405404,23.46153846,0.234756098,9.478517824,25.23076923,77,148,6.530487805,2,5.50304878,56
58.txt,51,102,-0.333333331,0.252892562,23.63793103,0.183982684,9.528765487,23.89655172,255,605,6.238095238,2,5.229437229,58
59.txt,32,37,-0.072463767,0.23076923,22.65625,0.181693989,9.135177596,22.875,133,299,6.094262295,3,5.090163934,59
60.txt,98,116,-0.084112149,0.284574468,20.81521739,0.170606372,8.394329505,21.15217391,332,752,6.031860226,10,5.003083248,60
61.txt,36,26,0.16129032,0.193146417,14.57777778,0.19236417,5.908056779,15.13333333,131,321,6.284875184,4,5.261380323,61
